Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories;Unnamed: 19
117;21873;Corporate Social Responsibility and Environmental Management;journal;15353958, 15353966;2.43;Q1;58;32;82;1893;410;80;4.09;59.16;United States;John Wiley & Sons Inc.;2003-ongoing;"Development (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1)";
118;19400157144;Handbook of Income Distribution;book series;15740056;2.424;Q1;21;0;26;0;77;0;0;0;Netherlands;Elsevier BV;2000, 2015;"Economics and Econometrics (Q1); Finance (Q1); Sociology and Political Science (Q1)";
119;22838;Political Communication;journal;10584609, 10917675;2.409;Q1;72;36;93;1832;256;91;2.4;50.89;United Kingdom;Taylor & Francis;1980-ongoing;"Communication (Q1); Sociology and Political Science (Q1)";
120;4400151522;Planning Theory;journal;14730952;2.394;Q1;44;20;76;1104;229;69;2.81;55.2;United States;SAGE Publications;2002-ongoing;Geography, Planning and Development (Q1);
121;10300153306;International Journal of Press/Politics;journal;19401612;2.386;Q1;54;30;71;1565;263;69;2.34;52.17;United States;SAGE Publications;2003, 2008-ongoing;"Communication (Q1); Sociology and Political Science (Q1)";
122;23406;Business Strategy and the Environment;journal;10990836, 09644733;2.369;Q1;84;38;128;2778;606;126;3.89;73.11;United States;John Wiley & Sons Inc.;1992-ongoing;"Business and International Management (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1)";
123;23145;Language Learning;journal;14679922, 00238333;2.359;Q1;85;55;135;3623;451;131;2.53;65.87;United Kingdom;Blackwell Publishing Inc.;1948-1953, 1955-1956, 1958-ongoing;"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
124;19400158343;Current Opinion in Environmental Sustainability;journal;18773435;2.356;Q1;69;94;279;4771;1478;259;4.55;50.76;Netherlands;Elsevier BV;2009-ongoing;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";
125;14427;European Sociological Review;journal;02667215, 14682672;2.345;Q1;75;53;211;2365;657;210;2.52;44.62;United Kingdom;Oxford University Press;1985-ongoing;Sociology and Political Science (Q1);
126;78019;American Ethnologist;journal;940496;2.336;Q1;68;51;147;2931;436;138;2.51;57.47;United States;Wiley-Blackwell;1974-ongoing;Anthropology (Q1);
127;14735;Government Information Quarterly;journal;0740624X;2.33;Q1;84;73;191;4825;1220;183;5.65;66.1;United Kingdom;Elsevier Ltd.;1984-ongoing;"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)";
128;16306;New Media and Society;journal;14614448;2.316;Q1;87;134;280;6477;1462;268;4.84;48.34;United States;SAGE Publications;1999-ongoing;"Communication (Q1); Sociology and Political Science (Q1)";
129;30060;World Development;journal;0305750X;2.315;Q1;150;210;709;14015;2561;698;3.54;66.74;United Kingdom;Elsevier Ltd.;1973-ongoing;"Development (Q1); Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";
130;17530;Social Forces;journal;15347605, 00377732;2.31;Q1;117;68;173;4521;484;171;2.67;66.49;United Kingdom;Oxford University Press;1974, 1977-ongoing;"Anthropology (Q1); History (Q1); Sociology and Political Science (Q1)";
131;12481;Journal of Engineering Education;journal;10694730, 21689830;2.308;Q1;93;29;76;1676;410;62;6.31;57.79;United States;Wiley-Blackwell;1969-1978, 1993-1995, 1997-ongoing;"Education (Q1); Engineering (miscellaneous) (Q1)";
132;26493;Academic Medicine;journal;10402446;2.307;Q1;130;458;1386;8342;3478;884;3.82;18.21;United States;Lippincott Williams & Wilkins Ltd.;1989-ongoing;"Education (Q1); Medicine (miscellaneous) (Q1)";
133;23930;Conflict Management and Peace Science;journal;7388942;2.307;Q1;36;20;86;1282;130;83;1.39;64.1;United States;SAGE Publications;1973, 1975-1986, 1988-1996, 1998-ongoing;"Economics and Econometrics (Q1); Political Science and International Relations (Q1)";
134;28007;Security Dialogue;journal;9670106;2.307;Q1;58;34;95;2186;348;93;3.86;64.29;United States;SAGE Publications;1970-1972, 1976-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
135;21681;University of Pennsylvania Law Review;journal;419907;2.298;Q1;53;42;126;5158;238;101;2.07;122.81;United States;University of Pennsylvania Law Review;1974, 1977-1978, 1986, 1989-1990, 1992-1993, 1996-ongoing;Law (Q1);
136;15821;Journal of Policy Analysis and Management;journal;02768739, 15206688;2.292;Q1;73;62;170;1807;401;136;2.92;29.15;United States;John Wiley & Sons Inc.;1981-ongoing;"Business, Management and Accounting (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";
137;19936;Communication Theory;journal;14682885, 10503293;2.283;Q1;67;25;76;1703;310;66;3.84;68.12;United States;Wiley-Blackwell;1991-ongoing;"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
138;98982;Transport Reviews;journal;01441647, 14645327;2.28;Q1;65;42;121;3070;505;107;3.36;73.1;United Kingdom;Taylor & Francis;1981-ongoing;Transportation (Q1);
139;23239;Land Degradation and Development;journal;1099145X, 10853278;2.265;Q1;68;169;197;10949;1949;194;9.66;64.79;United States;John Wiley & Sons Inc.;1989-1990, 1992-ongoing;"Development (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Soil Science (Q1)";
140;22861;Political Psychology;journal;0162895X, 14679221;2.262;Q1;80;59;158;3522;505;156;3.33;59.69;United Kingdom;Blackwell Publishing Inc.;1996-ongoing;"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";
141;30718;Annals of Tourism Research;journal;1607383;2.261;Q1;144;119;285;5510;1172;271;3.7;46.3;United Kingdom;Elsevier Ltd.;1974-ongoing;"Development (Q1); Tourism, Leisure and Hospitality Management (Q1)";
142;21149;Leadership Quarterly;journal;10489843;2.259;Q1;132;61;220;6008;914;201;4.07;98.49;United Kingdom;Elsevier Ltd.;1990-ongoing;"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";
143;20323;Journal of Education Policy;journal;02680939, 14645106;2.245;Q1;65;51;133;3289;499;127;3.37;64.49;United Kingdom;Taylor & Francis;1986-ongoing;Education (Q1);
144;21100199107;Education Finance and Policy;journal;15573079, 15573060;2.243;Q1;18;20;67;732;102;64;1.77;36.6;United States;MIT Press Journals;2011-ongoing;Education (Q1);
145;15074;European Journal of Information Systems;journal;0960085X, 14769344;2.238;Q1;96;27;127;2443;638;121;4.66;90.48;United Kingdom;Palgrave Macmillan Ltd.;1995-ongoing;"Information Systems (Q1); Library and Information Sciences (Q1)";
146;21424;Journal for Research in Mathematics Education;journal;218251;2.232;Q1;69;17;77;934;151;69;1.84;54.94;United States;National Council of Teachers of Mathematics;1996-ongoing;"Education (Q1); Mathematics (miscellaneous) (Q1)";
147;21629;University of Chicago Law Review;journal;419494;2.2;Q1;50;44;119;8372;154;100;1.5;190.27;United States;University of Chicago Press;1977-1978, 1986, 1991-1992, 1995-ongoing;Law (Q1);
148;11800154593;Strategic Organization;journal;1741315X, 14761270;2.175;Q1;47;23;65;1592;205;58;1.88;69.22;United States;SAGE Publications;2003-ongoing;"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";
149;13357;Journal of the Learning Sciences;journal;10508406, 15327809;2.174;Q1;84;22;67;1398;220;55;3.62;63.55;United States;Lawrence Erlbaum Associates Inc.;1991-1992, 1994-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1)";
150;23626;Science Education;journal;00368326, 1098237X;2.151;Q1;100;45;131;3036;388;130;2.57;67.47;United States;John Wiley & Sons Inc.;1916-1919, 1922-ongoing;"Education (Q1); History and Philosophy of Science (Q1)";
151;18091;Sociological Methods and Research;journal;491241;2.151;Q1;65;19;85;815;324;84;3.11;42.89;United States;SAGE Publications;1972-ongoing;"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";
152;19900191605;WIREs Climate Change;journal;17577799, 17577780;2.148;Q1;58;57;147;6387;793;142;5.6;112.05;United States;John Wiley & Sons Inc.;2010-ongoing;"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1)";
153;21100259111;Journal of Legal Analysis;journal;21617201, 19465319;2.137;Q1;9;11;29;986;47;28;1.7;89.64;United States;Oxford University Press;2013-ongoing;Law (Q1);
154;18173;Mathematical Finance;journal;09601627, 14679965;2.131;Q1;68;32;89;1070;198;88;2.36;33.44;United Kingdom;Blackwell Publishing Inc.;1991-ongoing;"Accounting (Q1); Applied Mathematics (Q1); Economics and Econometrics (Q1); Finance (Q1); Social Sciences (miscellaneous) (Q1)";
155;15143;Regional Studies;journal;13600591, 00343404;2.129;Q1;105;145;379;8185;1268;349;3.44;56.45;United Kingdom;Carfax Publishing Ltd.;1967-ongoing;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";
156;15653;Journal of Marriage and Family;journal;17413737, 00222445;2.112;Q1;143;89;242;4694;745;238;2.87;52.74;United Kingdom;Blackwell Publishing Inc.;1973-1978, 1980-1981, 1985, 1996-ongoing;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)";
157;20143;Business and Society;journal;76503;2.111;Q1;64;37;99;2638;264;87;3.16;71.3;United States;SAGE Publications;1960-1978, 1980-1981, 1983-ongoing;"Business, Management and Accounting (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";
158;25666;Common Market Law Review;journal;1650750;2.108;Q1;43;59;169;1072;304;152;1.81;18.17;Netherlands;Kluwer Law International;1996-ongoing;"Law (Q1); Political Science and International Relations (Q1)";
159;22857;Political Geography;journal;9626298;2.098;Q1;86;64;167;4298;487;137;2.92;67.16;United Kingdom;Elsevier Ltd.;1983, 1992-ongoing;"Geography, Planning and Development (Q1); History (Q1); Sociology and Political Science (Q1)";
160;12164;Brain and Language;journal;0093934X;2.097;Q1;110;68;356;4228;1235;345;2.66;62.18;United States;Elsevier Inc.;1974-ongoing;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Speech and Hearing (Q1)";
161;15499;Journal of Experimental Social Psychology;journal;00221031, 10960465;2.089;Q1;125;81;434;3647;1352;415;2.63;45.02;United States;Elsevier Inc.;1965-ongoing;"Social Psychology (Q1); Sociology and Political Science (Q1)";
162;13448;Comparative Politics;journal;104159;2.088;Q1;58;29;64;1844;144;64;1.74;63.59;United States;City University of New York;1978, 1987-1989, 1996-ongoing;Sociology and Political Science (Q1);
163;15111;Progress in Planning;journal;3059006;2.083;Q1;41;8;25;1092;130;25;5.24;136.5;United Kingdom;Elsevier Ltd.;1969, 1973-ongoing;Geography, Planning and Development (Q1);
164;29425;Harvard Educational Review;journal;178055;2.082;Q1;69;20;88;1450;292;83;5.63;72.5;United States;Harvard University;1979, 1989, 1996-ongoing;Education (Q1);
165;27364;Population and Development Review;journal;17284457, 00987921;2.076;Q1;86;38;111;1417;390;104;3.53;37.29;United Kingdom;Blackwell Publishing Inc.;1976-ongoing;"Demography (Q1); Development (Q1); Sociology and Political Science (Q1)";
166;5200152701;Academy of Management Learning and Education;journal;1537260X;2.07;Q1;63;41;122;3284;467;98;3.55;80.1;United States;George Washington University;2005-ongoing;"Education (Q1); Organizational Behavior and Human Resource Management (Q1)";
167;26857;International Migration Review;journal;1979183;2.067;Q1;86;43;125;1878;286;123;2.38;43.67;United States;Wiley-Blackwell;1972, 1974, 1977-ongoing;"Arts and Humanities (miscellaneous) (Q1); Demography (Q1)";
168;3900148216;Studies in Second Language Acquisition;journal;2722631;2.066;Q1;51;24;86;1707;247;82;1.74;71.13;United Kingdom;Cambridge University Press;1978-1995, 2005-ongoing;"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
169;22132;Virginia Law Review;journal;426601;2.065;Q1;49;34;116;5898;156;112;1.22;173.47;United States;Virginia Law Review Association;1967, 1974-1978, 1980, 1983-1985, 1987, 1990, 1992, 1995-ongoing;Law (Q1);
170;17649;Communication Research;journal;936502;2.063;Q1;89;35;143;2046;459;141;3.23;58.46;United States;SAGE Publications;1974-ongoing;"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
171;21100463801;Annals of the American Association of Geographers;journal;24694460, 24694452;2.059;Q1;102;96;247;5923;886;245;3.36;61.7;United Kingdom;Taylor and Francis Ltd.;2016-ongoing;"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)";
172;68623;Annual Review of Anthropology;journal;15454290, 00846570;2.055;Q1;110;29;90;3992;377;89;3.13;137.66;United States;Annual Reviews Inc.;1979-1988, 1990-1991, 1994, 1996-ongoing;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1)";
173;21100283775;Biology of Sex Differences;journal;20426410;2.043;Q1;30;68;73;3484;318;72;4.08;51.24;United Kingdom;BioMed Central;2010-ongoing;"Endocrinology (Q1); Gender Studies (Q1)";
174;16055;Reading Research Quarterly;journal;340553;2.033;Q1;77;28;76;1692;257;70;2.77;60.43;United States;Wiley-Blackwell;1996-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1)";
175;15482;Journal of Experimental Psychology: Learning Memory and Cognition;journal;2787393;2.032;Q1;142;143;444;7438;1215;432;2.81;52.01;United States;American Psychological Association;1975, 1982-ongoing;"Experimental and Cognitive Psychology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)";
176;25680;Journal of Youth and Adolescence;journal;15736601, 00472891;2.031;Q1;101;161;434;10491;1753;412;3.36;65.16;Netherlands;Kluwer Academic Publishers;1972-ongoing;"Developmental and Educational Psychology (Q1); Education (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1)";
177;31405;Journal of Archaeological Science;journal;03054403, 10959238;2.022;Q1;108;149;1168;9966;3959;1153;3.27;66.89;United States;Elsevier Inc.;1974-ongoing;"Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1)";
178;20731;Research in Higher Education;journal;1573188X, 03610365;2.022;Q1;74;40;112;2734;227;109;1.86;68.35;Netherlands;Kluwer Academic Publishers;1973-ongoing;Education (Q1);
179;29434;American Journal of Education;journal;15496511, 01956744;2.019;Q1;46;22;69;1443;122;59;1.68;65.59;United States;University of Chicago Press;1995-2001, 2003-ongoing;Education (Q1);
180;25654;Post-Soviet Affairs;journal;1060586X;2.009;Q1;40;27;65;1567;205;63;3.57;58.04;United Kingdom;Taylor & Francis;1992-ongoing;"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
181;26874;Building and Environment;journal;3601323;1.998;Q1;124;391;1056;18841;5014;1045;4.54;48.19;United Kingdom;Elsevier Ltd.;1976-ongoing;"Building and Construction (Q1); Civil and Structural Engineering (Q1); Environmental Engineering (Q1); Geography, Planning and Development (Q1)";
182;200147110;Information Communication and Society;journal;1369118X;1.998;Q1;59;106;261;5164;1101;240;4.46;48.72;United Kingdom;Routledge;2001-2002, 2005-ongoing;"Communication (Q1); Library and Information Sciences (Q1)";
183;20893;Transportation Research, Part C: Emerging Technologies;journal;0968090X;1.998;Q1;100;235;700;9909;3361;680;4.8;42.17;United Kingdom;Elsevier Ltd.;1993-ongoing;"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";
184;13822;Cornell Law Review;journal;108847;1.989;Q1;41;28;95;2418;151;95;1.48;86.36;United States;Cornell University Press;1975-1981, 1984-1986, 1988-ongoing;Law (Q1);
185;13600;Georgetown Law Journal;journal;168092;1.982;Q1;42;39;116;4958;192;114;1.59;127.13;United States;Georgetown University Law Center;1973-1974, 1976-1977, 1979, 1981, 1983-1986, 1988, 1992, 1994-ongoing;Law (Q1);
